,precision,recall,f1-score,support
Atelectasis,0.0,0.0,0.0,75.0
Cardiomegaly,0.0,0.0,0.0,66.0
Consolidation,0.0,0.0,0.0,32.0
Edema,0.0,0.0,0.0,42.0
Pleural Effusion,0.5555555555555556,0.390625,0.45871559633027525,64.0
micro avg,0.5555555555555556,0.08960573476702509,0.15432098765432098,279.0
macro avg,0.11111111111111112,0.078125,0.09174311926605505,279.0
weighted avg,0.12743926722421348,0.08960573476702509,0.10522508302916708,279.0
samples avg,0.12376237623762376,0.04356435643564357,0.06122112211221122,279.0
